Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Text Area 2,Text Area 3,Text Area 4,Text Area 5,Text Area 6,Text Area 7,Text Area 8,Text Area 9,Text Area 10,Text Area 11,Text Area 12,Text Area 13,Text Area 14,Text Area 15,Text Area 16,Text Area 17,Text Area 18,Text Area 19,Text Area 20,Text Area 21,Text Area 22,Text Area 23,Text Area 24,Text Area 25,Text Area 26,Text Area 27,Text Area 28,Text Area 29,Text Area 30,Text Area 31,Text Area 32,Text Area 33,Text Area 34,Text Area 35,Text Area 36,Text Area 37,Text Area 38,Text Area 39,Text Area 40,Text Area 41,Text Area 42,Text Area 43,Text Area 44,Text Area 45,Text Area 46,Text Area 47,Text Area 48,Text Area 49,Text Area 50,Text Area 51,Text Area 52,Text Area 53,Text Area 54,Text Area 55,Text Area 56,Text Area 57,Text Area 58,Text Area 59,Text Area 60,Text Area 61,Text Area 62,Text Area 63,Text Area 64,Text Area 65,Text Area 66,Text Area 67,Text Area 68,Text Area 69,Text Area 70,Text Area 71,Text Area 72,Text Area 73,Text Area 74,Text Area 75,Text Area 76,Text Area 77,Text Area 78,Text Area 79,Text Area 80,Text Area 81,Text Area 82,Text Area 83,Text Area 84,Text Area 85,Comments
71,"Entity (Key, Field, Type)",Entity Relationship,2,,,,,,,,audit_logs,PK,id_log,bigint,,log_timestamp,timestamp with time zone,,action_type,character varying(30),,entity_type,character varying(50),,entity_id,bigint,FK,user_id,bigint,,ip_address,inet,,user_agent,text,,old_values,jsonb,,new_values,jsonb,,description,text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,"Entity (Key, Field, Type)",Entity Relationship,2,,,,,,,,tags,PK,id_tag,bigint,AK,tag_name,character varying(100),,tag_category,character varying(50),,color_hex,character(7),,description,text,"FK,AK",id_organization,integer,,is_system_tag,boolean,,is_active,boolean,,created_at,timestamp with time zone,,updated_at,timestamp with time zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,"Entity (Key, Field, Type)",Entity Relationship,2,,,,,,,,application_settings,PK,id,bigint,AK,setting_key,character varying(100),,setting_value,jsonb,,setting_type,character varying(50),,description,text,,is_system,boolean,,created_at,timestamp with time zone,,updated_at,timestamp with time zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Process,Flowchart Shapes/Containers,2,,,,,,,,"MÓDULO 4: Controles

Administra los catálogos y parámetros configurables del sistema. Incluye las listas de valores para campos desplegables (estados, severidades, tipos, categorías), las escalas de evaluación de riesgos, y el sistema de etiquetas transversal.

Las etiquetas permiten clasificar cualquier entidad del sistema (riesgos, controles, incidentes) con categorías personalizadas, facilitando el filtrado y la generación de reportes por agrupaciones específicas de la organización.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Process,Flowchart Shapes/Containers,2,,,,,,,,"MÓDULO 6: BIA (Análisis de Impacto al Negocio)

Implementa el Análisis de Impacto al Negocio (BIA) según ISO 22301. Evalúa los impactos de interrupción de cada proceso en el tiempo y establece los objetivos de recuperación.

Define los indicadores clave: RTO (tiempo máximo de recuperación), RPO (pérdida de datos tolerable), MTPD (período máximo de interrupción) y MBCO (nivel mínimo de servicio). Categoriza impactos por tipo (financiero, reputacional, legal, operacional) e identifica dependencias con otros procesos, proveedores, activos y personal crítico.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,"Entity (Key, Field, Type)",Entity Relationship,2,,,,,,,,disruption_scenarios,PK,id_scenario,bigint,FK,id_organization,Type,AK,scenario_code,bigint,,name,character varying(255),,description,text,FK,scenario_type_lu,bigint,,"is_system_
scenario",boolean,,is_active,boolean,,sort_order,int,,created_at,timestamp with time zone,,updated_at,timestamp with time zone,,is_deleted,boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,"Entity (Key, Field, Type)",Entity Relationship,2,,,,,,,,bia_impact_matrix,PK,id_bia_impact,bigint,FK,id_bia,bigint,FK,id_scenario,bigint,FK,id_time_bucket,bigint,FK,id_impact_type,bigint,FK,selected_level_lu,int,FK,id_organization,bigint,,is_system_bucket,boolean,FK,status_lu,bigint,,created_at,timestamp with time zone,,updated_at,timestamp with time zone,,is_deleted,boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,"Entity (Key, Field, Type)",Entity Relationship,2,,,,,,,,ria_assessments,PK,id_ria,bigint,AK,ria_code,character varying(80),FK,id_organization,bigint,,target_process_type,character varying(30),FK,target_process_id,bigint,,id_bia,bigint,,assessment_date,date,,version,int,FK,status_lu,bigint,,notes,text,,created_at,timestamp with time zone,,updated_at,timestamp with time zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,"Entity (Key, Field, Type)",Entity Relationship,2,,,,,,,,ria_items,PK,id_ria_item,bigint,FK,id_ria,bigint,,item_no,int,,loss_risk_text,text,,activity_text,text,,basel_loss_type,text,,risk_factor_text,text,,"risk_factor_specific
_text",text,FK,id_plan,bigint,FK,id_scenario,bigint,FK,impact_type,bigint,FK,id_risk,bigint,FK,max_impact_24h_lu,bigint,FK,probability_lu,bigint,FK,control_effect_lu,bigint,FK,impact_lu,bigint,,inherent_risk_score,numeric,,residual_risk_score,numeric,,beta_factor,numeric,,residual_with_beta,numeric,,residual_final_score,numeric,FK,response_type_lu,numeric,,response_notes,text,,observations,text,,contingency_desc,text,,created_at,timestamp with time zone,,updated_at,timestamp with time zone,,,,
90,"Entity (Key, Field, Type)",Entity Relationship,2,,,,,,,,time_buckets,PK,id_time_bucket,bigint,AK,bucket_code,character varying(80),,name,character varying(255),,start_minutes,int,,end_minutes,int,,sort_order,int,FK,id_organization,bigint,,is_system_bucket,boolean,FK,status_lu,bigint,,created_at,timestamp with time zone,,updated_at,timestamp with time zone,,is_deleted,boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
